sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
大園,桃園市,21,,良好,0.5,0.13,25.7,19.3,12,3,5.7,6.1,0.4,3.2,229,"2023/08/16 14:00:00",0.1,6.6,11,1,121.20251473,25.06100357,18
觀音,桃園市,24,,良好,0,0.11,26,18.8,23,8,4.6,4.9,0.3,2.9,221,"2023/08/16 14:00:00",0.1,7.4,18,0,121.08283092,25.03556747,19
平鎮,桃園市,19,,良好,0.4,0.17,15.7,10.6,15,6,11.1,13.4,2.3,2.2,218,"2023/08/16 14:00:00",0.2,5.8,15,0,121.203986,24.952786,20
龍潭,桃園市,33,,良好,0.2,0.24,19.4,12.9,8,6,20.2,43,22.8,3.4,230,"2023/08/16 14:00:00",0.3,6.8,13,0,121.21645772,24.86400048,21
湖口,新竹縣,31,,良好,0.6,0.15,23.2,16.6,9,6,8.6,9.9,1.3,2.1,205,"2023/08/16 14:00:00",0.1,9.4,15,0,121.03886894,24.90009696,22
竹東,新竹縣,24,,良好,0.4,0.15,16.7,9.7,16,8,7.6,9.8,2.1,3.2,215,"2023/08/16 14:00:00",0.2,7.3,16,0,121.08895493,24.74091408,23
新竹,新竹市,31,,良好,0,0.21,24.4,16.4,11,6,8.5,9.8,1.3,1.8,173,"2023/08/16 14:00:00",0.2,9.5,17,0,120.97236752,24.8056356,24
頭份,苗栗縣,20,,良好,1.3,0.16,26.5,20.2,13,5,5.2,6.9,1.6,1.4,81,"2023/08/16 14:00:00",0.1,6.2,18,1,120.89869286,24.69690679,25
苗栗,苗栗縣,22,,良好,0.9,0.14,26.5,21.2,12,9,2.8,4.2,1.4,3.2,184,"2023/08/16 14:00:00",0.1,6.7,11,0,120.82011468,24.56499183,26
三義,苗栗縣,19,,良好,0.6,0.11,22.9,20.3,7,1,1.4,2.3,0.9,3.9,167,"2023/08/16 14:00:00",0.1,4.2,9,0,120.75956754,24.38248443,27
